filename,x,y,width,height
807,202.0,523.0,251.0,285.0
812,684.0,461.0,235.0,275.0
812,254.0,150.0,290.0,272.0
824,585.0,418.0,250.0,189.0
824,233.0,460.0,231.0,201.0
834,612.0,215.0,228.0,513.0
834,245.0,207.0,225.0,386.0
840,661.0,396.0,227.0,275.0
840,223.0,373.0,191.0,264.0
853,83.0,274.0,218.0,253.0
854,280.0,419.0,154.0,182.0
857,204.0,388.0,213.0,402.0
857,554.0,302.0,217.0,396.0
872,631.0,273.0,176.0,317.0
872,201.0,240.0,217.0,309.0
883,525.0,450.0,235.0,329.0
887,313.0,441.0,196.0,231.0
888,255.0,419.0,261.0,454.0
888,711.0,420.0,305.0,465.0
889,297.0,404.0,142.0,335.0
889,587.0,479.0,187.0,313.0
892,552.0,542.0,316.0,398.0
892,173.0,540.0,244.0,392.0
895,246.0,351.0,220.0,175.0
897,568.0,101.0,277.0,478.0
897,188.0,122.0,266.0,534.0
898,216.0,321.0,197.0,296.0
898,562.0,447.0,192.0,251.0
900,295.0,479.0,154.0,86.0
900,675.0,491.0,234.0,106.0
901,180.0,413.0,284.0,479.0
901,639.0,552.0,232.0,374.0
902,635.0,283.0,332.0,576.0
902,254.0,274.0,253.0,450.0
907,160.0,370.0,311.0,465.0
909,262.0,175.0,207.0,481.0
909,585.0,191.0,233.0,543.0
911,185.0,552.0,215.0,102.0
915,591.0,220.0,282.0,611.0
915,235.0,308.0,228.0,352.0
916,291.0,205.0,298.0,687.0
916,634.0,180.0,301.0,748.0
923,291.0,249.0,164.0,213.0
929,485.0,171.0,230.0,301.0
929,156.0,413.0,186.0,327.0
933,193.0,640.0,205.0,47.0
936,160.0,490.0,296.0,242.0
938,156.0,251.0,228.0,523.0
938,503.0,294.0,236.0,514.0
945,584.0,380.0,220.0,387.0
945,141.0,396.0,251.0,269.0
953,320.0,301.0,158.0,230.0
954,200.0,565.0,201.0,133.0
957,253.0,450.0,241.0,233.0
965,238.0,454.0,246.0,205.0
966,185.0,541.0,178.0,159.0
966,585.0,562.0,222.0,175.0
971,322.0,418.0,224.0,244.0
971,703.0,529.0,292.0,265.0
972,668.0,98.0,197.0,526.0
972,298.0,252.0,213.0,223.0
973,170.0,394.0,291.0,338.0
984,176.0,540.0,231.0,299.0
988,204.0,566.0,215.0,249.0
991,511.0,373.0,215.0,395.0
991,139.0,100.0,196.0,589.0
994,289.0,616.0,230.0,313.0
997,199.0,403.0,190.0,120.0
997,547.0,363.0,243.0,95.0
1002,549.0,168.0,297.0,714.0
1002,237.0,313.0,238.0,181.0
1011,205.0,217.0,230.0,402.0
1011,552.0,182.0,293.0,435.0
1017,291.0,264.0,246.0,487.0
1017,723.0,255.0,226.0,583.0
1019,773.0,221.0,125.0,288.0
1019,429.0,148.0,168.0,251.0
1021,140.0,96.0,321.0,815.0
1021,534.0,101.0,410.0,773.0
1022,553.0,296.0,293.0,413.0
1022,265.0,274.0,196.0,472.0
1023,204.0,471.0,222.0,266.0
1039,684.0,538.0,192.0,224.0
1039,221.0,546.0,222.0,210.0
1050,235.0,677.0,122.0,142.0
1076,500.0,244.0,234.0,666.0
1076,156.0,337.0,242.0,574.0
1081,536.0,433.0,296.0,265.0
1082,254.0,284.0,143.0,184.0
1108,218.0,477.0,186.0,339.0
1117,666.0,364.0,225.0,302.0
1117,326.0,470.0,135.0,331.0
1119,610.0,532.0,217.0,307.0
1119,192.0,577.0,272.0,235.0
1123,149.0,149.0,272.0,268.0
1131,204.0,516.0,240.0,385.0
1136,663.0,368.0,77.0,87.0
1142,618.0,487.0,209.0,170.0
1142,161.0,417.0,230.0,230.0
1143,585.0,348.0,219.0,357.0
1143,276.0,354.0,178.0,322.0
1149,675.0,404.0,165.0,191.0
1149,249.0,650.0,208.0,274.0
1151,318.0,231.0,154.0,295.0
1151,624.0,96.0,314.0,553.0
1156,375.0,375.0,198.0,338.0
1160,148.0,87.0,366.0,867.0
1160,620.0,82.0,335.0,942.0
1174,591.0,117.0,194.0,378.0
1177,144.0,533.0,207.0,208.0
1178,234.0,458.0,146.0,136.0
1182,636.0,338.0,233.0,451.0
1182,231.0,435.0,209.0,226.0
1189,103.0,383.0,153.0,293.0
1189,440.0,328.0,241.0,332.0
1194,278.0,157.0,179.0,357.0
1194,634.0,221.0,154.0,359.0
1202,125.0,258.0,261.0,365.0
1206,717.0,524.0,185.0,197.0
1207,110.0,255.0,228.0,412.0
1207,432.0,471.0,264.0,292.0
1209,606.0,361.0,269.0,344.0
1213,358.0,202.0,185.0,406.0
1213,689.0,196.0,200.0,444.0
1216,618.0,202.0,206.0,310.0
1216,203.0,155.0,237.0,413.0
1220,115.0,386.0,150.0,321.0
1220,608.0,402.0,134.0,239.0
1228,587.0,531.0,262.0,197.0
1237,45.0,239.0,341.0,547.0
1237,535.0,76.0,315.0,739.0
1241,608.0,396.0,221.0,328.0
1241,279.0,464.0,174.0,217.0
1247,513.0,564.0,209.0,204.0
1247,127.0,592.0,218.0,176.0
1251,173.0,235.0,243.0,546.0
1251,472.0,233.0,329.0,532.0
1260,639.0,526.0,184.0,218.0
1268,205.0,477.0,167.0,211.0
1268,697.0,414.0,159.0,247.0
1269,215.0,628.0,127.0,107.0
1269,265.0,186.0,158.0,285.0
1269,620.0,509.0,178.0,241.0
1273,699.0,134.0,182.0,445.0
1281,230.0,699.0,191.0,91.0
1281,245.0,374.0,224.0,267.0
1296,260.0,372.0,220.0,375.0
1296,626.0,456.0,202.0,434.0
1297,497.0,228.0,270.0,512.0
1297,59.0,159.0,248.0,540.0
1298,540.0,691.0,181.0,134.0
1298,122.0,672.0,224.0,206.0
1303,366.0,639.0,172.0,68.0
1303,354.0,501.0,111.0,90.0
1303,695.0,558.0,172.0,105.0
1305,165.0,519.0,224.0,313.0
1319,594.0,177.0,178.0,212.0
1319,616.0,439.0,172.0,225.0
1319,192.0,287.0,203.0,281.0
1321,315.0,433.0,122.0,178.0
1321,619.0,306.0,177.0,247.0
1330,263.0,440.0,177.0,257.0
1330,609.0,237.0,192.0,369.0
1331,174.0,517.0,237.0,299.0
1331,619.0,447.0,188.0,485.0
1335,223.0,321.0,225.0,527.0
1335,558.0,290.0,239.0,573.0
1336,609.0,368.0,154.0,279.0
1336,145.0,479.0,219.0,162.0
1338,541.0,222.0,137.0,168.0
1338,276.0,178.0,118.0,178.0
1343,305.0,201.0,207.0,310.0
1343,617.0,236.0,194.0,355.0
1345,139.0,287.0,273.0,553.0
1345,492.0,315.0,320.0,554.0
1350,176.0,561.0,279.0,287.0
1350,687.0,409.0,255.0,495.0
1353,195.0,591.0,245.0,161.0
1366,576.0,477.0,273.0,273.0
1366,176.0,513.0,216.0,291.0
1371,341.0,346.0,151.0,155.0
1375,156.0,523.0,237.0,170.0
1385,703.0,517.0,136.0,139.0
1385,279.0,641.0,127.0,112.0
1390,208.0,30.0,287.0,504.0
1390,538.0,306.0,223.0,328.0
1399,365.0,521.0,144.0,363.0
1401,631.0,358.0,293.0,394.0
1401,304.0,321.0,163.0,207.0
1410,190.0,440.0,155.0,158.0
1412,259.0,543.0,144.0,110.0
1415,668.0,334.0,161.0,234.0
1415,253.0,231.0,217.0,341.0
1419,718.0,259.0,205.0,306.0
1421,599.0,605.0,153.0,118.0
1421,48.0,517.0,237.0,249.0
1422,170.0,467.0,253.0,269.0
1426,168.0,480.0,251.0,270.0
1427,667.0,85.0,312.0,682.0
1427,274.0,92.0,182.0,523.0
1428,208.0,327.0,229.0,349.0
1436,673.0,394.0,152.0,358.0
1445,212.0,112.0,157.0,418.0
1445,578.0,105.0,223.0,470.0
1449,241.0,255.0,169.0,387.0
1450,228.0,632.0,116.0,181.0
1453,318.0,381.0,192.0,321.0
1461,629.0,538.0,245.0,157.0
1465,241.0,504.0,254.0,130.0
1471,163.0,258.0,288.0,521.0
1472,289.0,495.0,120.0,156.0
1472,654.0,606.0,155.0,146.0
1473,267.0,452.0,226.0,233.0
1473,587.0,449.0,246.0,276.0
1479,256.0,408.0,103.0,257.0
1493,619.0,222.0,203.0,696.0
1493,242.0,183.0,220.0,615.0
1497,233.0,491.0,173.0,137.0
1497,637.0,386.0,152.0,239.0
1500,162.0,539.0,199.0,137.0
1508,518.0,529.0,199.0,196.0
1508,179.0,512.0,198.0,177.0
1511,85.0,215.0,378.0,681.0
1513,114.0,785.0,230.0,172.0
1514,134.0,147.0,312.0,674.0
1514,557.0,197.0,311.0,419.0
1523,587.0,312.0,178.0,360.0
1523,178.0,229.0,260.0,347.0
1532,690.0,658.0,180.0,231.0
1540,259.0,561.0,114.0,96.0
1541,223.0,241.0,231.0,351.0
1541,592.0,236.0,258.0,397.0
1551,250.0,189.0,178.0,381.0
1560,168.0,303.0,215.0,341.0
1560,487.0,321.0,327.0,456.0
1560,126.0,592.0,142.0,188.0
1566,200.0,331.0,238.0,272.0
1566,539.0,346.0,233.0,296.0
1573,275.0,281.0,153.0,221.0
1573,182.0,643.0,263.0,184.0
1574,142.0,317.0,206.0,397.0
1574,512.0,329.0,281.0,355.0
1577,281.0,445.0,113.0,120.0
1577,657.0,414.0,245.0,291.0
1578,188.0,68.0,308.0,682.0
1578,590.0,90.0,271.0,760.0
1580,93.0,509.0,383.0,428.0
1580,584.0,515.0,360.0,426.0
1584,102.0,129.0,307.0,502.0
1584,496.0,116.0,379.0,623.0
1592,664.0,342.0,313.0,614.0
1592,317.0,494.0,259.0,420.0
1593,634.0,257.0,194.0,304.0
1593,315.0,288.0,165.0,388.0
1595,187.0,159.0,215.0,393.0
1595,587.0,245.0,206.0,486.0
1603,679.0,484.0,218.0,134.0
1603,304.0,291.0,221.0,283.0
1611,695.0,450.0,236.0,263.0
1611,129.0,513.0,267.0,162.0
1615,535.0,300.0,203.0,390.0
1615,239.0,284.0,222.0,475.0
1620,168.0,203.0,272.0,642.0
1620,643.0,233.0,222.0,388.0
1626,121.0,588.0,265.0,242.0
1626,637.0,623.0,266.0,233.0
1642,347.0,459.0,139.0,195.0
1642,641.0,387.0,130.0,187.0
1653,728.0,440.0,160.0,343.0
1653,259.0,533.0,183.0,191.0
1655,245.0,662.0,193.0,227.0
1658,161.0,280.0,307.0,530.0
1658,551.0,280.0,347.0,562.0
1661,246.0,618.0,202.0,88.0
1663,601.0,472.0,80.0,131.0
1681,650.0,308.0,79.0,171.0
1681,302.0,289.0,127.0,93.0
1681,240.0,479.0,163.0,106.0
1682,333.0,688.0,189.0,232.0
1688,536.0,298.0,218.0,189.0
1691,506.0,166.0,214.0,390.0
1691,163.0,158.0,176.0,371.0
1698,164.0,357.0,221.0,519.0
1701,263.0,437.0,153.0,213.0
1713,177.0,367.0,194.0,366.0
1713,493.0,449.0,282.0,350.0
1716,58.0,567.0,255.0,191.0
1734,596.0,261.0,292.0,504.0
1734,225.0,278.0,259.0,455.0
1735,145.0,580.0,221.0,254.0
1742,203.0,664.0,203.0,186.0
1743,592.0,592.0,165.0,186.0
1743,217.0,602.0,197.0,152.0
1744,334.0,554.0,167.0,278.0
1744,689.0,488.0,187.0,324.0
1751,190.0,384.0,185.0,249.0
1751,563.0,477.0,170.0,259.0
1756,263.0,307.0,189.0,172.0
1757,203.0,78.0,231.0,464.0
1759,367.0,451.0,156.0,238.0
1759,645.0,385.0,242.0,226.0
1768,590.0,555.0,95.0,124.0
1774,138.0,323.0,122.0,111.0
1775,634.0,548.0,198.0,273.0
1775,247.0,461.0,216.0,246.0
1779,577.0,143.0,267.0,497.0
1779,212.0,126.0,251.0,455.0
1787,650.0,281.0,240.0,366.0
1789,657.0,457.0,234.0,370.0
1789,277.0,493.0,227.0,345.0
1790,602.0,591.0,389.0,201.0
1794,113.0,526.0,282.0,498.0
1794,538.0,590.0,288.0,315.0
1796,563.0,449.0,116.0,146.0
1796,174.0,423.0,163.0,142.0
1802,217.0,310.0,252.0,610.0
1802,597.0,399.0,262.0,603.0
1816,520.0,109.0,280.0,715.0
1816,94.0,88.0,276.0,623.0
1825,616.0,368.0,212.0,456.0
1828,587.0,289.0,178.0,409.0
1828,284.0,244.0,155.0,403.0
1829,207.0,500.0,174.0,237.0
1829,581.0,553.0,237.0,220.0
1830,525.0,409.0,248.0,374.0
1830,191.0,612.0,197.0,250.0
1831,370.0,352.0,219.0,428.0
1838,229.0,292.0,189.0,250.0
1838,470.0,207.0,334.0,349.0
1839,165.0,443.0,290.0,353.0
1846,313.0,445.0,146.0,279.0
1858,163.0,414.0,179.0,238.0
1858,528.0,303.0,235.0,385.0
1865,670.0,299.0,302.0,607.0
1865,204.0,299.0,225.0,523.0
1874,715.0,307.0,153.0,168.0
1874,344.0,448.0,150.0,124.0
1874,402.0,332.0,135.0,121.0
1875,146.0,701.0,303.0,323.0
1886,605.0,274.0,326.0,588.0
1886,192.0,246.0,277.0,584.0
1893,626.0,194.0,325.0,689.0
1897,525.0,434.0,250.0,274.0
1901,666.0,174.0,261.0,695.0
1903,592.0,445.0,267.0,420.0
1908,309.0,607.0,124.0,106.0
1914,723.0,555.0,107.0,84.0
1920,579.0,312.0,278.0,483.0
1920,126.0,410.0,240.0,399.0
1930,317.0,334.0,198.0,279.0
1932,324.0,313.0,192.0,333.0
1932,619.0,315.0,255.0,340.0
1934,705.0,556.0,167.0,247.0
1943,142.0,434.0,237.0,199.0
1944,250.0,247.0,262.0,389.0
1949,627.0,687.0,154.0,192.0
1949,273.0,634.0,104.0,152.0
1953,263.0,239.0,180.0,391.0
1953,591.0,340.0,232.0,355.0
1958,339.0,248.0,169.0,360.0
1964,225.0,687.0,154.0,122.0
1964,685.0,665.0,221.0,129.0
1967,241.0,659.0,141.0,113.0
1967,653.0,631.0,155.0,142.0
1970,326.0,212.0,181.0,275.0
1970,698.0,288.0,226.0,311.0
1971,529.0,298.0,193.0,201.0
1971,262.0,318.0,143.0,216.0
1974,212.0,234.0,243.0,506.0
1974,559.0,301.0,250.0,505.0
1976,634.0,206.0,302.0,242.0
1976,145.0,228.0,264.0,195.0
1978,548.0,489.0,246.0,174.0
1985,169.0,321.0,190.0,394.0
1985,495.0,346.0,240.0,266.0
1986,121.0,272.0,334.0,569.0
1986,581.0,296.0,270.0,572.0
1993,598.0,318.0,163.0,354.0
1993,269.0,275.0,178.0,356.0
1994,751.0,662.0,199.0,180.0
1996,134.0,432.0,250.0,306.0
2000,624.0,195.0,206.0,396.0
2003,649.0,561.0,309.0,358.0
2008,558.0,364.0,282.0,389.0
2008,177.0,350.0,253.0,416.0
2013,343.0,386.0,105.0,257.0
2013,585.0,413.0,137.0,236.0
2014,199.0,492.0,267.0,452.0
2014,688.0,548.0,187.0,181.0
2014,602.0,189.0,245.0,347.0
2014,281.0,163.0,201.0,253.0
2023,247.0,425.0,148.0,152.0
2031,649.0,383.0,281.0,557.0
2031,235.0,591.0,228.0,270.0
2036,219.0,403.0,219.0,353.0
2036,626.0,445.0,168.0,443.0
2037,137.0,384.0,199.0,277.0
2039,117.0,270.0,277.0,462.0
2039,549.0,246.0,299.0,483.0
2046,142.0,105.0,274.0,765.0
2046,631.0,252.0,355.0,674.0
2048,119.0,466.0,263.0,255.0
2048,525.0,444.0,294.0,294.0
2053,169.0,373.0,229.0,400.0
2053,573.0,358.0,281.0,410.0
2057,613.0,288.0,171.0,357.0
2057,164.0,259.0,190.0,367.0
2071,161.0,534.0,203.0,240.0
2078,81.0,587.0,210.0,222.0
2078,552.0,389.0,201.0,213.0
2079,547.0,369.0,177.0,285.0
2079,217.0,348.0,161.0,488.0
2080,199.0,546.0,199.0,220.0
2080,633.0,565.0,253.0,202.0
2081,253.0,241.0,269.0,522.0
2081,569.0,257.0,309.0,620.0
2086,594.0,426.0,359.0,444.0
2087,115.0,339.0,226.0,217.0
2087,519.0,338.0,187.0,377.0
2088,186.0,329.0,238.0,422.0
2088,637.0,425.0,221.0,446.0
2089,172.0,281.0,266.0,455.0
2092,164.0,278.0,289.0,549.0
2092,519.0,256.0,321.0,619.0
2095,128.0,251.0,290.0,522.0
2095,517.0,190.0,369.0,637.0
2099,633.0,646.0,228.0,204.0
2100,298.0,422.0,139.0,218.0
2101,594.0,402.0,204.0,280.0
2102,161.0,221.0,295.0,574.0
2102,576.0,294.0,227.0,549.0
2109,669.0,256.0,307.0,471.0
2109,258.0,207.0,264.0,478.0
2110,193.0,336.0,165.0,231.0
2110,713.0,336.0,113.0,156.0
2111,247.0,416.0,174.0,332.0
2111,687.0,338.0,165.0,306.0
2125,248.0,379.0,146.0,146.0
2129,591.0,100.0,230.0,288.0
2129,180.0,113.0,259.0,647.0
2130,591.0,626.0,262.0,225.0
2130,162.0,614.0,262.0,207.0
2136,138.0,405.0,281.0,219.0
2143,170.0,146.0,369.0,673.0
2144,656.0,162.0,185.0,239.0
2144,626.0,410.0,234.0,207.0
2145,568.0,442.0,274.0,213.0
2145,327.0,514.0,115.0,209.0
2154,240.0,446.0,187.0,278.0
2167,667.0,496.0,159.0,116.0
2168,131.0,127.0,149.0,463.0
2168,440.0,249.0,208.0,359.0
2172,167.0,516.0,267.0,357.0
2181,600.0,481.0,192.0,289.0
2182,159.0,202.0,301.0,671.0
2182,544.0,206.0,354.0,702.0
2184,258.0,333.0,188.0,281.0
2187,666.0,515.0,146.0,264.0
2187,175.0,417.0,239.0,312.0
2189,680.0,379.0,142.0,138.0
2194,649.0,598.0,241.0,152.0
2194,194.0,533.0,218.0,213.0
2199,256.0,272.0,210.0,343.0
2199,584.0,236.0,240.0,337.0
2200,76.0,567.0,259.0,126.0
2200,88.0,307.0,124.0,210.0
2202,503.0,271.0,362.0,667.0
2206,236.0,512.0,113.0,90.0
2210,346.0,484.0,224.0,228.0
2216,280.0,591.0,174.0,146.0
2229,266.0,530.0,209.0,173.0
2231,321.0,408.0,241.0,360.0
2235,199.0,452.0,199.0,191.0
2243,72.0,199.0,278.0,447.0
2243,511.0,211.0,257.0,437.0
2244,198.0,551.0,201.0,220.0
2244,609.0,415.0,194.0,270.0
2247,689.0,31.0,264.0,220.0
2247,253.0,23.0,329.0,214.0
2247,378.0,373.0,160.0,129.0
2254,273.0,261.0,199.0,428.0
2254,618.0,364.0,214.0,437.0
2255,531.0,325.0,221.0,458.0
